state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NAICS  Code,Local Area,Total  Employees,Effective  Date,COUNTY_NAME,WDA_NAME,WFDD_RECEIVED_DATE,zip,lwib_area,address,contact_person,collective_bargaining_unit,type_detail
Virginia,Leidos,"Alexandria, VA",03/31/2025,05/30/2025,29,Layoff,,,,,,,,,,,"1750 Presidents St, Reston, VA 20190",Karey Jamison,,
Virginia,Goodyear,"Danville, VA",01/31/2025,04/02/2025,815,Layoff,,,,,,,,,,,"200 Innovation Way, Akron, OH 44316",Jennifer Vernon,"United Steelworkers, Local 831, J.L. Pete Morton, President, 285 Shady Grove Road, Providence, NC 27315; Emil Ramirez, International Vice President, 60 Boulevard of the Allies, Pittsburgh, PA 15222",
Virginia,International Foundation for Electoral Systems,"Arlington, VA",03/11/2025,03/02/2025,48,Layoff,,,,,,,,,,,"2011 Crystal Drive, Arlington, VA 22202",Natasha Campbell,,
Virginia,Amazon MAK7 Facility,"Manassas, VA",03/12/2025,05/13/2025,88,Closure,,,,,,,,,,,"Manassas, VA",Cabell Wagner,,
Virginia,"Speyside Bourbon Cooperage, INC.","Atkins, VA",02/28/2025,04/30/2025,75,Layoff,,,,,,,,,,,"960 Main St, Jackson, OH 45640",Drew Brooks,,
Virginia,American Institutes of Research (AIR),"Arlington, VA",03/11/2025,05/09/2025,149,Layoff,,,,,,,,,,,"1400 Crystal Dr, Arlington, VA 22202",Lesly Sepanloo,,
Virginia,Management Science for Health (MSH),"Arlington, VA",02/07/2025,02/04/2025,182,,,,,,,,,,,,"4201 Wilson Boulevard, Arlington, VA 22203",Kathryn Erskine,,
Virginia,"D&A Consulting Service, LLC dba GetInsured","Virginia, VA",01/21/2025,02/19/2025,35,Permanent Reduction,,,,,,,,,,,"7908 Point Hollow Dr, Richmond, VA 23227",Elena Fuller,,
Virginia,American Woodmark Corporation,"Orange, VA",01/07/2025,03/24/2025,131,Closure,,,,,,,,,,,"561 Shady Elm Road, Winchester, VA 22602",Eric Miller,,
Virginia,"Nitto, Inc","Chesapeake, VA",01/08/2025,03/07/2025,86,Closure,,,,,,,,,,,"809 Principal Ct, Chesapeake, VA 23320",Becky Carroll,,
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,ZoomCare,Bellevue & Remote,4/16/2026,6/15/2026,36,Layoff,,,,,,,,,,,,,,Permanent
Washington,Snap Inc.,"Bellevue, Seattle, Vancouver",4/15/2026,4/16/2026,95,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Astellas US Holding, Inc.",Seattle,4/10/2026,7/1/2026,50,Closure,,,,,,,,,,,,,,Permanent
Washington,"Meta Platforms, Inc","Seattle, Bellevue, Redmond",3/31/2026,5/8/2026,168,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Oracle America, Inc.",Seattle and Remote,3/31/2026,6/1/2026,475,Layoff,,,,,,,,,,,,,,Permanent
Washington,Starbucks,Seattle,3/27/2026,3/29/2026,69,Closure,,,,,,,,,,,,,,Permanent
Washington,"Epic Games, Inc.",Bellevue,3/24/2026,3/27/2026,82,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Blue Star Growers, Inc.",Cashmere,3/20/2026,5/19/2026,143,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Blue Bird, Inc.",Wenatchee,3/17/2026,5/16/2026,82,Layoff,,,,,,,,,,,,,,Permanent
Washington,"John I. Haas, Inc.",Yakima,3/13/2026,5/15/2026,12,Layoff,,,,,,,,,,,,,,Temporary
Washington,"Rise Baking Company, LLC",Kent,3/12/2026,8/7/2026,120,Closure,,,,,,,,,,,,,,Permanent
Washington,"Atlassian US, Inc.",Bellevue,3/11/2026,3/13/2026,63,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Agrimacs, Inc.",Chelan,3/9/2026,5/8/2026,145,Closure,,,,,,,,,,,,,,Permanent
Washington,CHS Northwest,"Whatcom, County",3/5/2026,5/5/2026,57,Closure,,,,,,,,,,,,,,Permanent
Washington,C2 Technologies,Virtual,3/5/2026,3/6/2026,1,Layoff,,,,,,,,,,,,,,Permanent
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,Refresco Beverages US Inc,Walla Walla,3/3/2026,5/2/2026,58,Closure,,,,,,,,,,,,,,Permanent
Washington,Northwest Hardwoods,Centralia,3/3/2026,3/5/2026,70,Closure,,,,,,,,,,,,,,Permanent
Washington,"MicroVision, Inc.",Redmond,3/2/2026,4/30/2026,49,Layoff,,,,,,,,,,,,,,Permanent
Washington,Doosan GridTech,Bellevue,3/2/2026,5/1/2026,18,Layoff,,,,,,,,,,,,,,Permanent
Washington,"IPIC Theaters, LLC",Redmond,2/27/2026,4/28/2026,64,Closure,,,,,,,,,,,,,,Permanent
Washington,CHS Northwest,Various locations in Washington,2/19/2026,4/19/2026,38,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Peshastin Pear Packers, LLC.",Peshastin,2/16/2026,4/23/2026,31,Layoff,,,,,,,,,,,,,,Permanent
Washington,PeaceHealth,Various locations in Washington,2/11/2026,4/12/2026,94,Layoff,,,,,,,,,,,,,,Permanent
Washington,Eddie Bauer LLC,Seattle,2/9/2026,4/15/2026,60,Closure,,,,,,,,,,,,,,Permanent
Washington,Congdon Packing Company,Yakima,2/9/2026,4/15/2026,102,Layoff,,,,,,,,,,,,,,Permanent
Washington,"GMRI, Inc. dba Bahama Breeze",Tukwila,2/3/2026,4/5/2026,93,Closure,,,,,,,,,,,,,,Permanent
Washington,T-Mobile,Various locations in Washington,2/2/2026,4/2/2026,637,Layoff,,,,,,,,,,,,,,Permanent
Washington,Amazon,Various locations in Washington,1/30/2026,4/28/2026,2198,Layoff,,,,,,,,,,,,,,Permanent
Washington,International Paper Company,Union Gap,1/30/2026,4/3/2026,102,Closure,,,,,,,,,,,,,,Permanent
Washington,"Expedia, Inc.",Seattle,1/28/2026,4/1/2026,162,Layoff,,,,,,,,,,,,,,Permanent
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,Amazon,Various locations in Washington,1/28/2026,4/28/2026,401,Closure,,,,,,,,,,,,,,Permanent
Washington,CHS Northwest,Lynden,1/28/2026,4/1/2026,11,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Meta Platforms, Inc",King County,1/19/2026,3/20/2026,331,Layoff,,,,,,,,,,,,,,Permanent
Washington,Food Service Slicing LLC dba Crunch Pak,Selah,1/15/2026,3/31/2026,101,Closure,,,,,,,,,,,,,,Permanent
Washington,SMBC Manubank,Various locations in Washington,1/8/2026,3/10/2026,5,Layoff,,,,,,,,,,,,,,Permanent
Washington,Tessera,King County,1/6/2026,3/8/2026,1,Layoff,,,,,,,,,,,,,,Permanent
Washington,Swedish Health Services,King and Snohomish Counties,1/6/2026,3/7/2026,50,Layoff,,,,,,,,,,,,,,Permanent
Washington,Doosan GridTech,Bellevue,12/29/2025,2/27/2026,24,Layoff,,,,,,,,,,,,,,Permanent
Washington,Amazon,Seattle & Bellevue,12/13/2025,2/2/2026,84,Layoff,,,,,,,,,,,,,,Permanent
Washington,Packaging Corporation of America,Wallula,12/11/2025,2/9/2026,200,Closure,,,,,,,,,,,,,,Permanent
Washington,Verizon,Various locations in Washington,11/21/2025,1/23/2026,165,Layoff,,,,,,,,,,,,,,Permanent
Washington,Providence Health & Services,Various locations in Washington,11/21/2025,1/20/2026,57,Layoff,,,,,,,,,,,,,,Permanent
Washington,Nordstrom Credit Bank,Remote in Washington,11/20/2025,3/1/2026,6,Layoff,,,,,,,,,,,,,,Permanent
Washington,Nordstrom Credit Bank,Remote in Washington,11/20/2025,2/1/2026,2,Layoff,,,,,,,,,,,,,,Permanent
Washington,Meteorcomm LLC,Renton,11/18/2025,1/17/2026,49,Layoff,,,,,,,,,,,,,,Permanent
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,Battelle Memorial Institute / Pacific Northwest National Laboratory,Various locations in Washington,11/18/2025,11/18/2025,68,Layoff,,,,,,,,,,,,,,Permanent
Washington,Nordstrom Credit Bank,Remote in Washington,11/17/2025,2/21/2026,1,Layoff,,,,,,,,,,,,,,Permanent
Washington,"The Skillet Group / Skillet SA, LLC",Seattle,11/14/2025,12/12/2025,9,Closure,,,,,,,,,,,,,,Permanent
Washington,"The Skillet Group / Skillet Diner, LLC",Seattle,11/14/2025,11/12/2025,18,Closure,,,,,,,,,,,,,,Permanent
Washington,"The Skillet Group / Skillet Street Food, Inc. DBA Skillet Diner Harbor Steps",Seattle,11/14/2025,11/12/2025,20,Closure,,,,,,,,,,,,,,Permanent
Washington,Great Floors (Artisan Designer Group),Various locations in Washington,11/13/2025,1/12/2026,58,Closure,,,,,,,,,,,,,,Permanent
Washington,"Solgen Power, LLC, d/b/a Purelight Power",Various locations in Washington,11/13/2025,12/23/2025,71,Closure,,,,,,,,,,,,,,Permanent
Washington,"Rad Power Bikes, Inc.",Seattle,11/7/2025,3/6/2026,64,Closure,,,,,,,,,,,,,,Permanent
Washington,"Adams County Public Hospital District #2, DBA East Adams Rural Healthcare",Ritzville,11/7/2025,1/7/2026,108,Layoff,,,,,,,,,,,,,,Permanent
Washington,Infineon Technologies Americas Corp.,Lynnwood,11/4/2025,11/14/2025,61,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Phillips Ultrasound, Inc",Bothell,10/31/2025,12/31/2025,33,Layoff,,,,,,,,,,,,,,Permanent
Washington,Tessera,Joint Base Lewis McChord,10/31/2025,11/1/2025,85,Layoff,,,,,,,,,,,,,,Temporary
Washington,Inventprise Inc.,Redmond,10/30/2025,12/31/2025,150,Layoff,,,,,,,,,,,,,,Permanent
Washington,Green Diamond Resource Company,"Seattle, Shelton",10/30/2025,12/31/2025,42,Layoff,,,,,,,,,,,,,,Permanent
Washington,TransAlta,Centralia,10/30/2025,1/5/2026,72,Layoff,,,,,,,,,,,,,,Permanent
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,Amazon,Various locations in Washington,10/28/2025,1/26/2026,2303,Layoff,,,,,,,,,,,,,,Permanent
Washington,PeaceHealth,Various locations in Washington,10/28/2025,12/27/2025,241,Layoff,,,,,,,,,,,,,,Permanent
Washington,PacificSource,Tacoma,10/28/2025,12/31/2025,4,Layoff,,,,,,,,,,,,,,Permanent
Washington,JARDE LLC,Bremerton,10/24/2025,10/31/2025,110,Closure,,,,,,,,,,,,,,Permanent
Washington,"Meta Platforms, Inc","Seattle, Bellevue, Redmond",10/23/2025,12/22/2025,101,Layoff,,,,,,,,,,,,,,Permanent
Washington,Virginia Mason Franciscan Health Virtual Health Services,Tacoma,10/17/2025,1/2/2026,5,Layoff,,,,,,,,,,,,,,Permanent
Washington,Above The Dirt LLC,Quincy,10/16/2025,12/15/2025,392,Layoff,,,,,,,,,,,,,,Permanent
Washington,"FirstFruits, LLC",Prescott,10/16/2025,11/30/2025,1200,Layoff,,,,,,,,,,,,,,Permanent
Washington,Double M Orchards,Quincy,10/10/2025,12/5/2025,197,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Gebbers Farms, Etal",Brewster,10/10/2025,11/25/2025,3465,Layoff,,,,,,,,,,,,,,Permanent
Washington,"King Fuji Ranch, Inc.",Mattawa,10/10/2025,11/28/2025,334,Layoff,,,,,,,,,,,,,,Permanent
Washington,Starbucks,"Seattle, Kent",10/9/2025,12/5/2025,974,Layoff,,,,,,,,,,,,,,Permanent
Washington,"SimplyIOA, LLC",Olympia,10/6/2025,12/2/2025,1,Closure,,,,,,,,,,,,,,Permanent
Washington,Stemilt Ag Services LLC,Wenatchee,10/6/2025,11/21/2025,1561,Layoff,,,,,,,,,,,,,,Permanent
Washington,Starbucks,Various locations in Washington,10/3/2025,12/5/2025,338,Closure,,,,,,,,,,,,,,Permanent
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,"Oracle America, Inc.",Seattle,10/1/2025,11/3/2025,4,Layoff,,,,,,,,,,,,,,Permanent
Washington,Manson Growers Orchard Services,Manson,10/1/2025,11/30/2025,257,Layoff,,,,,,,,,,,,,,Permanent
Washington,Farmers New World Life Insurance Company,Bellevue,10/1/2025,10/1/2025,65,Layoff,,,,,,,,,,,,,,Permanent
Washington,AgriNorthwest,Kennewick,10/1/2025,11/30/2025,62,Layoff,,,,,,,,,,,,,,Permanent
Washington,BM Administrative Services,Various locations in Washington,9/30/2025,11/30/2025,268,Layoff,,,,,,,,,,,,,,Permanent
Washington,Walmart,Federal Way,9/29/2025,10/31/2025,253,Closure,,,,,,,,,,,,,,Permanent
Washington,"Agrimacs, Inc.",Chelan,9/29/2025,11/14/2025,1368,Layoff,,,,,,,,,,,,,,Permanent
Washington,Kershaw Farm Labor Management,Yakima,9/26/2025,11/25/2025,539,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Darigold, Inc.",Chehalis,9/23/2025,11/23/2025,55,Closure,,,,,,,,,,,,,,Permanent
Washington,"Gilbert Orchards, Inc.",Yakima,9/23/2025,11/22/2025,599,Layoff,,,,,,,,,,,,,,Permanent
Washington,Overlake Medical Center & Clinics,Bellevue,9/22/2025,11/23/2025,55,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Sundquist Fruit, LLC",Yakima and Franklin Counties,9/19/2025,11/20/2025,424,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Monson Ranches Snake River Orchards, LLC DBA Goose Ridge Vineyards",Benton City,9/19/2025,11/7/2025,310,Layoff,,,,,,,,,,,,,,Permanent
Washington,Seattle Children's Hospital,"Seattle, Bellevue, Everett, Federal Way, Kennewick",9/17/2025,11/15/2025,154,Layoff,,,,,,,,,,,,,,Permanent
Washington,"AG Management Group, LLC",Yakima,9/17/2025,11/19/2025,1276,Layoff,,,,,,,,,,,,,,Permanent
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,"Borton & Sons, Inc.",Various locations in Washington,9/17/2025,11/9/2025,1025,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Cascade View Fruit & Cold Storage, LLC",Selah,9/15/2025,11/16/2025,263,Layoff,,,,,,,,,,,,,,Permanent
Washington,Columbia Orchard Management,Wenatchee,9/15/2025,11/14/2025,898,Layoff,,,,,,,,,,,,,,Permanent
Washington,NWFM,Various locations in Washington,9/12/2025,11/15/2025,283,Layoff,,,,,,,,,,,,,,Permanent
Washington,Washington Orchard Management,Various locations in Washington,9/11/2025,11/7/2025,336,Layoff,,,,,,,,,,,,,,Temporary
Washington,Microsoft,Redmond,9/8/2025,11/7/2025,42,Layoff,,,,,,,,,,,,,,Permanent
Washington,Virginia Mason Franciscan Health Virtual Health Services,Tacoma,9/8/2025,11/10/2025,24,Layoff,,,,,,,,,,,,,,Permanent
Washington,Virginia Mason Franciscan Health Insurance Verification,Tacoma,9/8/2025,11/7/2025,6,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Oracle America, Inc.",Seattle,9/2/2025,11/3/2025,101,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Salesforce, Inc.","Seattle, Bellevue",9/2/2025,11/3/2025,93,Layoff,,,,,,,,,,,,,,Permanent
Washington,Providence Health & Services,Seattle,8/28/2025,10/25/2025,5,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Rec Room, Inc.",Seattle,8/25/2025,10/26/2025,141,Layoff,,,,,,,,,,,,,,Permanent
Washington,Pfizer,Bothell,8/25/2025,8/25/2025,100,Layoff,,,,,,,,,,,,,,Permanent
Washington,Fred Meyer,Kent,8/22/2025,10/17/2025,172,Closure,,,,,,,,,,,,,,Permanent
Washington,Fred Meyer,Everett,8/22/2025,10/17/2025,189,Closure,,,,,,,,,,,,,,Permanent
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,Fred Meyer,Redmond,8/22/2025,10/18/2025,194,Closure,,,,,,,,,,,,,,Permanent
Washington,Fred Meyer,Seattle,8/22/2025,10/18/2025,201,Closure,,,,,,,,,,,,,,Permanent
Washington,Nordstrom Credit Bank,Remote in Washington,8/21/2025,11/15/2025,1,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Car Toys, Inc.",Various locations in Washington,8/19/2025,10/20/2025,177,Closure,,,,,,,,,,,,,,Permanent
Washington,"Zeco Systems, Inc.",Various locations in Washington,8/18/2025,10/31/2025,6,Layoff,,,,,,,,,,,,,,Permanent
Washington,T-Mobile,King County,8/15/2025,10/13/2025,131,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Oracle America, Inc.",Seattle,8/13/2025,10/13/2025,161,Layoff,,,,,,,,,,,,,,Permanent
Washington,"F5, Inc.",Seattle and Liberty Lake,8/12/2025,10/15/2025,106,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Block, Inc.",Statewide,8/12/2025,10/13/2025,4,Layoff,,,,,,,,,,,,,,Permanent
Washington,Providence Health & Services,Various locations in Washington,8/8/2025,10/7/2025,126,Layoff,,,,,,,,,,,,,,Permanent
Washington,Microsoft,Redmond,8/4/2025,10/3/2025,40,Layoff,,,,,,,,,,,,,,Permanent
Washington,Jack in the Box,Seattle,8/4/2025,10/3/2025,13,Closure,,,,,,,,,,,,,,Permanent
Washington,"LevelTen Energy, Inc.",Seattle,8/1/2025,8/15/2025,60,Layoff,,,,,,,,,,,,,,Permanent
Washington,Fred Meyer,Tacoma,7/29/2025,9/27/2025,226,Closure,,,,,,,,,,,,,,Permanent
Washington,RV Country Washington LLC,Kelso,7/25/2025,9/30/2025,17,Closure,,,,,,,,,,,,,,Permanent
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,"Quality Food Centers, Inc",Mill Creek,7/21/2025,9/3/2025,76,Closure,,,,,,,,,,,,,,Permanent
Washington,"KIRA Services, LLC",Pacific Beach,7/18/2025,8/11/2025,7,Layoff,,,,,,,,,,,,,,Permanent
Washington,Jack in the Box,Seattle,7/14/2025,9/10/2025,12,Closure,,,,,,,,,,,,,,Permanent
Washington,Jack in the Box,Tukwila,7/14/2025,9/10/2025,14,Closure,,,,,,,,,,,,,,Permanent
Washington,FIS,Bellevue,7/11/2025,9/15/2025,138,Layoff,,,,,,,,,,,,,,Permanent
Washington,"GSC Transport, Inc.",Tacoma,7/10/2025,7/10/2025,10,Layoff,,,,,,,,,,,,,,Permanent
Washington,"GSC Solutions, Inc.",Tacoma,7/10/2025,7/10/2025,7,Layoff,,,,,,,,,,,,,,Permanent
Washington,"MacMillan-Piper, LLC.","Seattle, Tacoma",7/10/2025,7/10/2025,92,Closure,,,,,,,,,,,,,,Permanent
Washington,"Indeed, Inc.",Seattle,7/10/2025,9/9/2025,92,Layoff,,,,,,,,,,,,,,Permanent
Washington,Western Forest Products Inc.,Vancouver,7/9/2025,7/8/2025,112,Closure,,,,,,,,,,,,,,Temporary
Washington,"ByteDance, Inc.",Bellevue,7/7/2025,7/28/2025,27,Layoff,,,,,,,,,,,,,,Permanent
Washington,"TikTok, Inc.",Bellevue,7/7/2025,7/28/2025,38,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Quality Built, LLC",Not Provided,7/7/2025,7/3/2025,1,Closure,,,,,,,,,,,,,,Permanent
Washington,Microsoft,Redmond and Bellevue,7/2/2025,8/31/2025,830,Layoff,,,,,,,,,,,,,,Permanent
Washington,"Northwest Offset Printing, Inc.",Spokane Valley,7/1/2025,8/31/2025,68,Closure,,,,,,,,,,,,,,Permanent
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
Washington,Amazon Fresh,Federal Way,6/20/2025,8/19/2025,125,Closure,,,,,,,,,,,,,,Permanent
Washington,"Del Monte Foods, Inc.","Yakima, Wapato",6/6/2025,8/8/2025,51,Closure,,,,,,,,,,,,,,Permanent
Washington,Virginia Mason Franciscan Health Virtual Health Services,Tacoma,6/5/2025,7/28/2025,116,Closure,,,,,,,,,,,,,,Permanent
Washington,Hood Packaging Corporation,Vancouver,6/3/2025,8/1/2025,94,Closure,,,,,,,,,,,,,,Permanent
Washington,Microsoft,Redmond,6/2/2025,8/1/2025,305,Layoff,,,,,,,,,,,,,,Permanent
Washington,LifeSkills Connection Inc.,Sedro Woolley,5/30/2025,6/30/2025,119,Closure,,,,,,,,,,,,,,Permanent
Washington,Emerald Transport Inc.,Quincy,5/27/2025,5/27/2025,1,Layoff,,,,,,,,,,,,,,Permanent
Washington,Enterprise for Progress in the Community (EPIC),Yakima,5/22/2025,6/30/2025,198,Layoff,,,,,,,,,,,,,,Permanent
Washington,Incyte Diagnostics,Spokane Valley,5/22/2025,8/4/2025,310,Layoff,,,,,,,,,,,,,,Permanent
Washington,Microsoft,Redmond,5/13/2025,7/12/2025,1985,Layoff,,,,,,,,,,,,,,Permanent
Washington,College Success Foundation,Bellevue,5/12/2025,7/9/2025,100,Layoff,,,,,,,,,,,,,,Permanent
Washington,The Bartell Drug Company (Rite Aid),Des Moines,5/7/2025,6/4/2025,131,Closure,,,,,,,,,,,,,,Permanent
Washington,Starbucks,Seattle,5/5/2025,7/4/2025,8,Layoff,,,,,,,,,,,,,,Permanent
Washington,SDS Lumber LLC,Bingen,5/1/2025,6/2/2025,81,Closure,,,,,,,,,,,,,,Permanent
Washington,"Accelerate360 Distribution, LLC - Dakota Merchandising Work Unit",Various locations in Washington,4/28/2025,6/28/2025,31,Closure,,,,,,,,,,,,,,Permanent
Washington,12345678910...,1,6,2,3,4,,,,,,,,,,,,,,5
